[20:56:57] [INFO] received Windows console close event; shutting log-core down
[21:00:08] [INFO] received Windows console close event; shutting log-core down
[21:02:05] [INFO] received Windows console close event; shutting log-core down
[01:29:30] [INFO] received Windows console close event; shutting log-core down
[01:40:02] [INFO] received Windows console close event; shutting log-core down
[01:48:42] [INFO] received Windows console close event; shutting log-core down
[02:08:18] [INFO] received Windows console close event; shutting log-core down
[02:12:51] [INFO] received Windows console close event; shutting log-core down
[02:14:33] [INFO] received Windows console close event; shutting log-core down
[02:28:21] [INFO] received Windows console close event; shutting log-core down
[02:32:31] [INFO] received Windows console close event; shutting log-core down
[02:34:54] [INFO] received Windows console close event; shutting log-core down
[02:36:13] [INFO] received Windows console close event; shutting log-core down
[02:39:09] [INFO] received Windows console close event; shutting log-core down
[20:41:48] [INFO] received Windows console close event; shutting log-core down
[21:20:28] [INFO] received Windows console close event; shutting log-core down
[21:30:58] [INFO] received Windows console close event; shutting log-core down
[21:36:22] [INFO] received Windows console close event; shutting log-core down
[21:52:54] [INFO] received Windows console close event; shutting log-core down
[21:55:55] [INFO] received Windows console close event; shutting log-core down
[00:02:57] [INFO] received Windows console close event; shutting log-core down
[00:03:50] [INFO] received Windows console close event; shutting log-core down
[00:35:10] [INFO] received Windows console close event; shutting log-core down
[02:09:36] [INFO] received Windows console close event; shutting log-core down
[13:56:30] [INFO] received Windows console close event; shutting log-core down
[14:06:54] [INFO] received Windows console close event; shutting log-core down
[14:10:05] [INFO] received Windows console close event; shutting log-core down
[14:51:00] [INFO] received Windows console close event; shutting log-core down
[14:53:16] [INFO] received Windows console close event; shutting log-core down
[15:05:12] [INFO] received Windows console close event; shutting log-core down
[15:06:53] [INFO] received Windows console close event; shutting log-core down
[15:30:33] [INFO] received Windows console close event; shutting log-core down
[15:53:04] [INFO] received Windows console close event; shutting log-core down
[15:56:29] [INFO] received Windows console close event; shutting log-core down
[16:13:35] [INFO] received Windows console close event; shutting log-core down
[16:45:00] [INFO] received Windows console close event; shutting log-core down
[17:06:18] [INFO] received Windows console close event; shutting log-core down
[17:07:46] [INFO] received Windows console close event; shutting log-core down
